model: A_denominator
observables: 2
events: 31965
warmup epochs: 5
profiled epochs: 10
hostname: wn180
effective CPUs: 1
CPU affinity: 0,1,2,3,8,9,10,11
CPU model: Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz
cgroup cpuset: 0-71
cgroup CPU quota: -1
PyTorch intra-op threads: 1
PyTorch inter-op threads: 1
PyTorch version: 2.11.0
OMP_NUM_THREADS: 1
MKL_NUM_THREADS: 1
OPENBLAS_NUM_THREADS: 1
OMP_DYNAMIC: FALSE
MKL_DYNAMIC: FALSE
training device: cpu

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                          Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------  
                                      training/backward        48.73%      26.377ms        65.46%      35.436ms       3.544ms      -5.67 MB         -80 B            10                                    []  
                               Optimizer.step#Adam.step         6.14%       3.325ms         7.82%       4.236ms     423.559us           0 B      -3.12 KB            10                                    []  
                              training/forward_and_loss         4.91%       2.660ms        18.87%      10.216ms       1.022ms       5.67 MB      -1.23 MB            10                                    []  
                                training/nuisance_theta         2.96%       1.601ms         7.33%       3.966ms     396.580us       4.90 MB           0 B            10                                    []  
                                         training/epoch         2.64%       1.430ms        99.28%      53.744ms       5.374ms         168 B         -72 B            10                                    []  
                                       aten::index_add_         2.07%       1.122ms         2.95%       1.599ms      79.963us           0 B      -2.44 MB            20      [[10], [], [15963], [15963], []]  
                                     training/zero_grad         1.41%     764.981us         2.12%       1.147ms     114.672us      -1.41 KB           0 B            10                                    []  
                               training/clamp_nuisances         1.34%     726.852us         1.51%     816.757us      81.676us           0 B           0 B            10                                    []  
                                     aten::index_select         1.28%     693.245us         2.20%       1.190ms      59.508us       2.44 MB           0 B            20                   [[10], [], [15963]]  
                                            aten::copy_         1.22%     662.531us         1.22%     662.531us      16.563us           0 B           0 B            40                [[15963], [15963], []]  
                                            aten::log1p         0.87%     470.696us         0.87%     470.696us      47.070us     779.30 KB     779.30 KB            10                              [[9975]]  
                                training/optimizer_step         0.86%     463.105us         8.68%       4.699ms     469.870us           0 B           0 B            10                                    []  
                                            aten::where         0.82%     446.407us         0.84%     455.362us      45.536us       1.22 MB       1.22 MB            10                [[15963], [15963], []]  
                                              aten::add         0.82%     445.853us         1.26%     683.991us       8.550us         640 B         480 B            80                          [[], [], []]  
                                            aten::log1p         0.81%     440.176us         0.81%     440.176us      44.018us     467.81 KB     467.81 KB            10                              [[5988]]  
                                              aten::mul         0.73%     393.680us         0.73%     393.680us      13.123us       3.65 MB       3.65 MB            30                    [[15963], [15963]]  
                                          ProfilerStep*         0.72%     388.556us       100.00%      54.133ms       5.413ms         168 B           0 B            10                                    []  
                     Optimizer.zero_grad#Adam.zero_grad         0.71%     381.737us         0.71%     381.737us      38.174us      -1.41 KB      -1.41 KB            10                                    []  
                                         aten::_to_copy         0.64%     347.830us         1.32%     712.318us       8.904us         560 B           0 B            80          [[], [], [], [], [], [], []]  
                                            aten::empty         0.61%     332.729us         0.61%     332.729us       1.386us       7.34 MB       7.34 MB           240              [[], [], [], [], [], []]  
                                              aten::neg         0.57%     306.370us         0.57%     306.370us       3.830us         640 B         640 B            80                                  [[]]  
                                              aten::sum         0.52%     278.810us         0.57%     307.325us      30.732us          80 B          80 B            10                          [[5988], []]  
    autograd::engine::evaluate_function: Log1PBackward0         0.51%     275.750us         2.75%       1.488ms      37.193us    -802.89 KB      -2.02 MB            40                                    []  
                                              aten::dot         0.50%     269.007us         0.66%     356.143us       8.904us         320 B           0 B            40                        [[100], [100]]  
                                              aten::mul         0.48%     257.531us         0.48%     257.531us       6.438us         320 B         320 B            40                              [[], []]  
                                               aten::ge         0.47%     255.333us         0.47%     255.333us      25.533us     155.89 KB     155.89 KB            10                         [[15963], []]  
autograd::engine::evaluate_function: IndexSelectBack...         0.43%     232.069us         4.82%       2.609ms      65.217us      -2.45 MB      -2.45 MB            40                                    []  
      autograd::engine::evaluate_function: AddBackward0         0.42%     228.207us         0.56%     303.393us       3.792us           0 B           0 B            80                                    []  
                                              aten::neg         0.42%     227.320us         0.42%     227.320us      11.366us       1.52 MB       1.52 MB            20                              [[9975]]  
                                            aten::slice         0.40%     215.104us         0.48%     259.516us       6.488us           0 B           0 B            40             [[15963], [], [], [], []]  
                                     aten::index_select         0.39%     213.160us         0.86%     463.286us      23.164us      15.62 KB           0 B            20                     [[10], [], [100]]  
                                            aten::zero_         0.38%     203.919us         0.38%     203.919us      10.196us           0 B           0 B            20                             [[15963]]  
                                            aten::copy_         0.37%     201.620us         0.37%     201.620us       2.520us           0 B           0 B            80                          [[], [], []]  
                                    aten::empty_strided         0.37%     199.251us         0.37%     199.251us       2.214us         640 B         640 B            90              [[], [], [], [], [], []]  
      autograd::engine::evaluate_function: MulBackward0         0.37%     198.744us         1.40%     759.035us      18.976us      -1.23 MB      -3.68 MB            40                                    []  
                                               aten::le         0.35%     191.111us         0.35%     191.111us      19.111us     155.89 KB     155.89 KB            10                         [[15963], []]  
                                            aten::clamp         0.34%     183.879us         0.35%     187.252us      18.725us       1.22 MB       1.22 MB            10                     [[15963], [], []]  
                           training/signal_region_shift         0.34%     182.066us         0.34%     182.066us      18.207us           0 B           0 B            10                                    []  
                                              aten::add         0.31%     167.037us         0.68%     366.507us      18.325us      15.62 KB      15.47 KB            20                       [[100], [], []]  
                                              aten::sum         0.31%     165.932us         0.33%     181.146us      18.115us          80 B          80 B            10                         [[15963], []]  
                                              aten::add         0.30%     162.846us         0.42%     228.089us      22.809us     779.30 KB     779.22 KB            10                      [[9975], [], []]  
                                              aten::add         0.28%     153.602us         0.28%     153.602us      15.360us       1.22 MB       1.22 MB            10                [[15963], [15963], []]  
                                              aten::sum         0.26%     142.925us         0.29%     156.052us      15.605us          80 B          80 B            10                          [[9975], []]  
      autograd::engine::evaluate_function: DotBackward0         0.26%     138.604us         0.66%     356.410us       8.910us      15.39 KB     -15.86 KB            40                                    []  
      autograd::engine::evaluate_function: NegBackward0         0.25%     133.753us         0.81%     439.786us       7.330us         320 B    -787.11 KB            60                                    []  
                                             aten::add_         0.24%     132.162us         0.66%     356.155us      17.808us           0 B         -80 B            20                          [[], [], []]  
                                           aten::select         0.24%     128.882us         0.29%     158.613us       7.931us           0 B           0 B            20                    [[100, 2], [], []]  
                                            aten::copy_         0.22%     120.846us         0.22%     120.846us       3.021us           0 B           0 B            40                    [[100], [100], []]  
                                           aten::expand         0.22%     117.686us         0.28%     149.742us       4.991us           0 B           0 B            30                          [[], [], []]  
                                              aten::mul         0.22%     117.086us         0.22%     117.086us       3.903us      23.44 KB      23.44 KB            30                        [[100], [100]]  
    autograd::engine::evaluate_function: ClampBackward1         0.21%     114.805us         2.81%       1.523ms      76.162us      -1.23 MB      -2.45 MB            20                                    []  
    autograd::engine::evaluate_function: SliceBackward0         0.21%     114.408us         1.92%       1.039ms      51.940us         -80 B      -3.65 MB            20                                    []  
                                            aten::clone         0.21%     113.744us         0.62%     335.598us       8.390us      31.25 KB           0 B            40                           [[100], []]  
                                              aten::add         0.21%     111.422us         0.36%     196.182us      19.618us     467.81 KB     467.73 KB            10                      [[5988], [], []]  
                                            aten::log1p         0.20%     110.669us         0.20%     110.669us       5.533us      15.62 KB      15.62 KB            20                               [[100]]  
                                            aten::clone         0.20%     108.726us         1.65%     894.699us      22.367us       4.87 MB           0 B            40                         [[15963], []]  
                                         ClampBackward1         0.20%     108.671us         2.02%       1.094ms     109.374us       1.22 MB    -311.86 KB            10                             [[15963]]  
                                              aten::div         0.20%     108.578us         0.20%     108.578us      10.858us     779.30 KB     779.30 KB            10                      [[9975], [9975]]  
                                              aten::mul         0.20%     108.280us         0.20%     108.280us       2.707us      31.25 KB      31.25 KB            40                           [[], [100]]  
                                               aten::to         0.18%      99.286us         1.50%     811.604us      10.145us         560 B           0 B            80                  [[], [], [], [], []]  
                                             aten::add_         0.18%      95.573us         0.18%      95.573us       9.557us           0 B           0 B            10                [[15963], [15963], []]  
                                            aten::copy_         0.17%      92.490us         0.17%      92.490us       9.249us           0 B           0 B            10                  [[9975], [9975], []]  
                                              aten::div         0.16%      88.058us         0.16%      88.058us       4.403us       1.56 KB       1.56 KB            20                            [[10], []]  
                                           aten::clamp_         0.16%      84.256us         0.17%      89.905us       4.495us           0 B           0 B            20                        [[10], [], []]  
                                            aten::lerp_         0.15%      81.487us         0.15%      81.487us       4.074us           0 B           0 B            20                      [[10], [10], []]  
                                         ClampBackward1         0.15%      79.222us         0.58%     314.707us      31.471us       7.81 KB      -2.03 KB            10                               [[100]]  
                                         aten::addcmul_         0.15%      79.042us         0.15%      79.042us       3.952us           0 B           0 B            20                [[10], [10], [10], []]  
                                              aten::div         0.14%      77.512us         0.14%      77.512us       7.751us     467.81 KB     467.81 KB            10                      [[5988], [5988]]  
                                           aten::select         0.14%      76.148us         0.18%      97.429us       4.871us           0 B           0 B            20                  [[15963, 2], [], []]  
                                           DotBackward0         0.14%      75.952us         0.34%     184.232us       4.606us      31.25 KB           0 B            40                                  [[]]  
                                           AddBackward0         0.14%      75.186us         0.14%      75.186us       0.940us           0 B           0 B            80                                  [[]]  
                                            aten::clamp         0.14%      74.899us         0.14%      78.221us       7.822us       7.81 KB       7.81 KB            10                       [[100], [], []]  
                                       aten::index_add_         0.14%      73.512us         0.46%     250.790us      12.539us           0 B     -15.62 KB            20          [[10], [], [100], [100], []]  
                                             aten::sqrt         0.13%      72.082us         0.13%      72.082us       3.604us       1.56 KB       1.56 KB            20                                [[10]]  
                                         Log1PBackward0         0.13%      71.372us         0.92%     496.157us      24.808us      15.62 KB     -15.62 KB            20                               [[100]]  
                            aten::index_select_backward         0.13%      70.371us         3.32%       1.798ms      89.881us       1.56 KB           0 B            20            [[15963], [], [], [15963]]  
                                            aten::zeros         0.13%      68.421us         0.57%     308.488us      15.424us       2.44 MB           0 B            20                  [[], [], [], [], []]  
                                               aten::ge         0.13%      68.160us         0.13%      68.160us       6.816us        1000 B        1000 B            10                           [[100], []]  
                                           NegBackward0         0.13%      68.054us         0.32%     172.000us       4.300us         320 B           0 B            40                                  [[]]  
                                       aten::empty_like         0.12%      67.666us         0.23%     123.442us       3.086us       4.87 MB           0 B            40         [[15963], [], [], [], [], []]  
      autograd::engine::evaluate_function: SumBackward0         0.12%      67.066us         0.52%     282.911us       9.430us           0 B           0 B            30                                    []  
                                           SumBackward0         0.12%      66.103us         0.40%     215.845us       7.195us           0 B           0 B            30                                  [[]]  
                                             aten::mul_         0.12%      65.561us         0.12%      65.561us       3.278us           0 B           0 B            20                            [[10], []]  
                                         aten::addcdiv_         0.12%      63.456us         0.12%      63.456us       3.173us           0 B           0 B            20                [[10], [10], [10], []]  
                                   IndexSelectBackward0         0.12%      63.122us         3.44%       1.861ms      93.037us       1.56 KB           0 B            20                             [[15963]]  
                                            aten::where         0.12%      62.615us         0.13%      70.072us       7.007us       7.81 KB       7.81 KB            10                    [[100], [100], []]  
                                             aten::add_         0.12%      62.543us         0.12%      62.543us       2.085us           0 B           0 B            30                    [[100], [100], []]  
                                       aten::as_strided         0.11%      62.142us         0.11%      62.142us       1.036us           0 B           0 B            60                      [[], [], [], []]  
                                       aten::empty_like         0.11%      61.714us         0.19%     101.008us       2.525us      31.25 KB           0 B            40           [[100], [], [], [], [], []]  
                                        aten::new_zeros         0.11%      60.817us         0.24%     127.990us       6.400us       1.56 KB           0 B            20         [[15963], [], [], [], [], []]  
                                   aten::slice_backward         0.11%      60.599us         0.65%     353.837us      35.384us       1.22 MB           0 B            10          [[9975], [], [], [], [], []]  
                                              aten::neg         0.11%      58.796us         0.11%      58.796us       2.940us      15.62 KB      15.62 KB            20                               [[100]]  
                                              aten::div         0.11%      58.278us         0.11%      58.278us       2.914us      15.62 KB      15.62 KB            20                        [[100], [100]]  
                                       aten::contiguous         0.11%      58.207us         1.76%     952.906us      23.823us       4.87 MB           0 B            40                         [[15963], []]  
                                       aten::contiguous         0.11%      57.325us         0.73%     392.923us       9.823us      31.25 KB           0 B            40                           [[100], []]  
                            aten::index_select_backward         0.10%      56.054us         0.77%     416.819us      20.841us       1.56 KB           0 B            20                [[100], [], [], [100]]  
                                   IndexSelectBackward0         0.10%      52.348us         0.87%     469.167us      23.458us       1.56 KB           0 B            20                               [[100]]  
                                        aten::new_zeros         0.10%      52.017us         0.20%     109.975us       5.499us       1.56 KB           0 B            20           [[100], [], [], [], [], []]  
                                             aten::add_         0.09%      49.134us         0.09%      49.134us       2.457us           0 B           0 B            20                        [[10], [], []]  
                                    aten::scalar_tensor         0.09%      48.743us         0.09%      48.743us       2.437us         160 B         160 B            20                  [[], [], [], [], []]  
                        torch::autograd::AccumulateGrad         0.09%      48.487us         0.19%     103.673us       5.184us           0 B           0 B            20                                [[10]]  
autograd::engine::evaluate_function: torch::autograd...         0.09%      47.161us         0.28%     150.834us       7.542us           0 B           0 B            20                                    []  
                                   aten::slice_backward         0.09%      46.965us         0.49%     267.719us      26.772us       1.22 MB           0 B            10          [[5988], [], [], [], [], []]  
                                             aten::add_         0.09%      46.686us         0.09%      46.686us       2.334us           0 B           0 B            20                      [[10], [10], []]  
                                           MulBackward0         0.08%      45.956us         0.31%     166.024us       8.301us         160 B           0 B            20                                  [[]]  
                                       aten::as_strided         0.08%      44.412us         0.08%      44.412us       1.110us           0 B           0 B            40                 [[15963], [], [], []]  
                                            aten::copy_         0.07%      39.055us         0.07%      39.055us       3.905us           0 B           0 B            10                  [[5988], [5988], []]  
                                         Log1PBackward0         0.07%      38.948us         0.58%     312.642us      31.264us     467.81 KB    -467.81 KB            10                              [[5988]]  
                                           MulBackward0         0.07%      37.798us         0.17%      91.702us       9.170us      15.62 KB           0 B            10                               [[100]]  
                                         Log1PBackward0         0.07%      37.516us         0.69%     374.183us      37.418us     779.30 KB    -779.30 KB            10                              [[9975]]  
                                             aten::item         0.07%      37.036us         0.10%      55.852us       2.793us           0 B           0 B            20                                  [[]]  
                                           MulBackward0         0.07%      35.901us         0.56%     302.565us      30.256us       2.44 MB           0 B            10                             [[15963]]  
                                               aten::le         0.07%      35.891us         0.07%      35.891us       3.589us        1000 B        1000 B            10                           [[100], []]  
                                      aten::logical_and         0.06%      33.371us         0.06%      33.371us       3.337us           0 B           0 B            10           [[15963], [15963], [15963]]  
                                        aten::ones_like         0.06%      32.945us         0.20%     107.562us      10.756us          80 B           0 B            10              [[], [], [], [], [], []]  
                                                 detach         0.06%      32.877us         0.06%      32.877us       1.644us           0 B           0 B            20                                [[10]]  
                                       aten::empty_like         0.06%      32.564us         0.13%      68.947us       6.895us          80 B           0 B            10              [[], [], [], [], [], []]  
                                         SliceBackward0         0.06%      32.510us         0.71%     386.347us      38.635us       1.22 MB           0 B            10                              [[9975]]  
                                        aten::new_empty         0.06%      31.164us         0.11%      60.534us       3.027us       1.56 KB           0 B            20         [[15963], [], [], [], [], []]  
                                       aten::as_strided         0.05%      29.731us         0.05%      29.731us       1.487us           0 B           0 B            20                [[100, 2], [], [], []]  
                                            aten::fill_         0.05%      26.770us         0.05%      26.770us       0.892us           0 B           0 B            30                             [[1], []]  
                                        aten::new_empty         0.05%      26.564us         0.10%      52.276us       2.614us       1.56 KB           0 B            20           [[100], [], [], [], [], []]  
                                     aten::logical_and_         0.04%      24.093us         0.11%      57.464us       5.746us           0 B           0 B            10                    [[15963], [15963]]  
                                           aten::detach         0.04%      22.309us         0.10%      55.186us       2.759us           0 B           0 B            20                                [[10]]  
                                       aten::as_strided         0.04%      21.281us         0.04%      21.281us       1.064us           0 B           0 B            20              [[15963, 2], [], [], []]  
                                      aten::logical_and         0.04%      21.177us         0.04%      21.177us       2.118us           0 B           0 B            10                 [[100], [100], [100]]  
                                         SliceBackward0         0.04%      21.146us         0.53%     288.865us      28.886us       1.22 MB           0 B            10                              [[5988]]  
                              aten::_local_scalar_dense         0.03%      18.816us         0.03%      18.816us       0.941us           0 B           0 B            20                                  [[]]  
                                            aten::fill_         0.03%      18.655us         0.03%      18.655us       0.373us           0 B           0 B            50                              [[], []]  
                                     aten::logical_and_         0.03%      17.238us         0.07%      38.415us       3.842us           0 B           0 B            10                        [[100], [100]]  
                                           NegBackward0         0.02%      12.434us         0.18%      96.829us       9.683us     779.30 KB           0 B            10                              [[9975]]  
                                            aten::zero_         0.02%      12.321us         0.02%      12.321us       0.308us           0 B           0 B            40                                [[10]]  
                                           NegBackward0         0.02%      12.149us         0.07%      37.204us       3.720us       7.81 KB           0 B            10                               [[100]]  
                                               aten::to         0.01%       5.649us         0.01%       5.649us       0.282us           0 B           0 B            20                [[10], [], [], [], []]  
                                               aten::to         0.01%       3.373us         0.01%       3.373us       0.337us           0 B           0 B            10             [[15963], [], [], [], []]  
                                               aten::to         0.01%       3.322us         0.01%       3.322us       0.332us           0 B           0 B            10               [[100], [], [], [], []]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------------------------------  
Self CPU time total: 54.133ms
