model: A_numerator
observables: 2
events: 32095
warmup epochs: 5
profiled epochs: 10
hostname: wn040
effective CPUs: 7
CPU affinity: 26,27,28,29,30,31,32,33
CPU model: Intel(R) Xeon(R) Gold 5320 CPU @ 2.20GHz
cgroup cpuset: 0-103
cgroup CPU quota: -1
PyTorch intra-op threads: 7
PyTorch inter-op threads: 1
PyTorch version: 2.11.0
OMP_NUM_THREADS: 7
MKL_NUM_THREADS: 7
OPENBLAS_NUM_THREADS: 7
OMP_DYNAMIC: FALSE
MKL_DYNAMIC: FALSE
training device: cpu

-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg       CPU Mem  Self CPU Mem    # of Calls                           Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  -------------------------------------  
                                            aten::log1p        14.32%     176.559ms        14.32%     176.559ms       8.828ms       1.53 MB       1.53 MB            20                              [[10036]]  
                                            aten::copy_        13.18%     162.539ms        13.18%     162.539ms      16.254ms           0 B           0 B            10           [[15984, 4], [15984, 4], []]  
                                 aten::sigmoid_backward        12.37%     152.480ms        12.37%     152.480ms      15.248ms       4.88 MB       4.88 MB            10               [[15984, 4], [15984, 4]]  
                                              aten::sum        12.23%     150.806ms        12.24%     150.856ms      15.086ms         320 B         320 B            10               [[15984, 4], [], [], []]  
                                            aten::log1p        11.46%     141.280ms        11.46%     141.280ms       7.064ms     929.38 KB     929.38 KB            20                               [[5948]]  
                                          aten::sigmoid        11.10%     136.864ms        11.10%     136.864ms      13.686ms       4.88 MB       4.88 MB            10                           [[15984, 4]]  
                                              aten::dot        11.09%     136.767ms        11.10%     136.793ms      13.679ms          80 B           0 B            10                     [[15984], [15984]]  
                                             aten::tanh         6.61%      81.437ms         6.61%      81.437ms       8.144ms       1.22 MB       1.22 MB            10                           [[15984, 1]]  
                              training/forward_and_loss         0.92%      11.392ms        71.00%     875.400ms      87.540ms      13.76 MB      -2.46 MB            10                                     []  
                                      training/backward         0.72%       8.897ms        27.37%     337.426ms      33.743ms     -13.76 MB         -80 B            10                                     []  
                               Optimizer.step#Adam.step         0.62%       7.670ms         0.85%      10.453ms       1.045ms           0 B      -5.78 KB            10                                     []  
                                            aten::addmm         0.54%       6.692ms        13.73%     169.294ms      16.929ms       4.88 MB       4.88 MB            10      [[4], [15984, 2], [2, 4], [], []]  
                           training/signal_region_shift         0.41%       5.091ms        32.15%     396.400ms      39.640ms       7.32 MB      -6.10 MB            10                                     []  
                                          ProfilerStep*         0.27%       3.318ms       100.00%        1.233s     123.290ms         304 B           0 B            10                                     []  
                                training/nuisance_theta         0.23%       2.857ms         0.51%       6.236ms     623.606us       4.91 MB           0 B            10                                     []  
                                         training/epoch         0.19%       2.327ms        99.73%        1.230s     122.958ms         304 B         -72 B            10                                     []  
                                               aten::mm         0.17%       2.109ms         0.17%       2.112ms     211.248us         320 B         320 B            10               [[1, 15984], [15984, 4]]  
                                               aten::mm         0.17%       2.074ms         0.17%       2.084ms     208.420us       4.88 MB       4.88 MB            10                   [[15984, 1], [1, 4]]  
                                              aten::add         0.16%       1.961ms         0.18%       2.223ms      18.522us         960 B         800 B           120                           [[], [], []]  
                                               aten::mm         0.15%       1.881ms         0.15%       1.887ms     188.712us         640 B         640 B            10               [[4, 15984], [15984, 2]]  
                                              aten::sum         0.13%       1.562ms         0.13%       1.631ms      81.538us         160 B         160 B            20                           [[5948], []]  
                               training/clamp_nuisances         0.12%       1.424ms         0.13%       1.569ms     156.926us           0 B           0 B            10                                     []  
                                    aten::tanh_backward         0.11%       1.413ms         0.11%       1.413ms     141.261us       1.22 MB       1.22 MB            10               [[15984, 1], [15984, 1]]  
                                            aten::copy_         0.11%       1.396ms         0.11%       1.396ms      34.901us           0 B           0 B            40                 [[15984], [15984], []]  
                                            aten::addmm         0.10%       1.236ms         0.13%       1.641ms     164.119us       1.22 MB       1.22 MB            10      [[1], [15984, 4], [4, 1], [], []]  
                                       aten::index_add_         0.08%     986.579us         0.17%       2.146ms     107.304us           0 B      -2.44 MB            20       [[10], [], [15984], [15984], []]  
                                training/optimizer_step         0.08%     945.438us         0.92%      11.398ms       1.140ms           0 B           0 B            10                                     []  
                                     training/zero_grad         0.08%     938.629us         0.12%       1.462ms     146.238us      -2.60 KB           0 B            10                                     []  
    autograd::engine::evaluate_function: AddmmBackward0         0.07%     844.371us        12.90%     158.983ms       7.949ms      -1.22 MB      -6.10 MB            20                                     []  
                                              aten::mul         0.06%     694.020us         0.06%     694.020us      34.701us       2.44 MB       2.44 MB            20                       [[15984, 1], []]  
                                              aten::mul         0.05%     646.679us         0.05%     646.679us      21.556us       3.66 MB       3.66 MB            30                     [[15984], [15984]]  
                                            aten::slice         0.05%     630.163us         0.06%     708.552us       8.857us           0 B           0 B            80              [[15984], [], [], [], []]  
                                              aten::neg         0.05%     622.214us         0.05%     622.214us       5.185us         960 B         960 B           120                                   [[]]  
                                         aten::_to_copy         0.05%     617.513us         0.10%       1.225ms       8.749us         880 B           0 B           140           [[], [], [], [], [], [], []]  
                                              aten::add         0.05%     575.143us         0.07%     825.628us      41.281us       1.53 MB       1.53 MB            20                      [[10036], [], []]  
                                              aten::neg         0.04%     552.209us         0.04%     552.209us      13.805us       3.06 MB       3.06 MB            40                              [[10036]]  
                                              aten::sum         0.04%     548.588us         0.05%     588.737us      29.437us         160 B         160 B            20                          [[10036], []]  
                                              aten::mul         0.04%     545.362us         0.04%     545.362us      27.268us       2.44 MB       2.44 MB            20                          [[], [15984]]  
                                             aten::add_         0.04%     530.801us         0.04%     530.801us       8.847us           0 B           0 B            60                 [[15984], [15984], []]  
                     Optimizer.zero_grad#Adam.zero_grad         0.04%     523.755us         0.04%     523.755us      52.375us      -2.60 KB      -2.60 KB            10                                     []  
                                     aten::index_select         0.04%     499.718us         0.11%       1.410ms      70.479us       2.44 MB           0 B            20                    [[10], [], [15984]]  
                                            aten::zero_         0.04%     483.403us         0.04%     483.403us      12.085us           0 B           0 B            40                              [[15984]]  
                                                aten::t         0.04%     476.689us         0.05%     659.396us      32.970us           0 B           0 B            20                               [[1, 4]]  
                                     aten::index_select         0.04%     476.104us         0.08%       1.046ms      52.288us      15.62 KB           0 B            20                      [[10], [], [100]]  
                                            aten::clone         0.04%     468.847us         0.16%       1.991ms      49.783us       4.88 MB           0 B            40                          [[15984], []]  
                                             aten::add_         0.04%     438.630us         0.09%       1.098ms      18.308us           0 B        -240 B            60                           [[], [], []]  
                                           aten::linear         0.03%     417.060us        13.79%     169.980ms      16.998ms       4.88 MB           0 B            10              [[15984, 2], [4, 2], [4]]  
                                            aten::empty         0.03%     398.198us         0.03%     398.198us       1.475us       9.79 MB       9.79 MB           270               [[], [], [], [], [], []]  
                                              aten::sum         0.03%     396.659us         0.03%     413.905us      20.695us         160 B         160 B            20                          [[15984], []]  
      autograd::engine::evaluate_function: AddBackward0         0.03%     379.752us         0.04%     494.526us       4.121us           0 B           0 B           120                                     []  
                                            aten::copy_         0.03%     363.338us         0.03%     363.338us       2.595us           0 B           0 B           140                           [[], [], []]  
                                              aten::div         0.03%     348.977us         0.03%     348.977us      17.449us       1.53 MB       1.53 MB            20                     [[10036], [10036]]  
                                               aten::ge         0.03%     348.385us         0.03%     348.385us      34.839us     156.09 KB     156.09 KB            10                          [[15984], []]  
                                            aten::copy_         0.03%     348.036us         0.03%     348.036us      34.804us           0 B           0 B            10           [[15984, 1], [15984, 1], []]  
    autograd::engine::evaluate_function: Log1PBackward0         0.03%     345.127us         0.21%       2.620ms      43.661us    -343.12 KB      -2.79 MB            60                                     []  
                                            aten::where         0.02%     305.439us         0.03%     313.107us      31.311us       1.22 MB       1.22 MB            10                 [[15984], [15984], []]  
                                            aten::clone         0.02%     303.214us         0.05%     577.098us      14.427us      31.25 KB           0 B            40                            [[100], []]  
                                    aten::empty_strided         0.02%     301.727us         0.02%     301.727us       2.012us         960 B         960 B           150               [[], [], [], [], [], []]  
                                            aten::clamp         0.02%     262.396us         0.02%     265.361us      26.536us       1.22 MB       1.22 MB            10                      [[15984], [], []]  
                                              aten::dot         0.02%     260.741us         0.03%     333.249us       8.331us         320 B           0 B            40                         [[100], [100]]  
                                           aten::expand         0.02%     257.005us         0.03%     313.768us       5.229us           0 B           0 B            60                           [[], [], []]  
                                              aten::add         0.02%     252.396us         0.03%     374.948us      18.747us     929.38 KB     929.22 KB            20                       [[5948], [], []]  
                                            aten::copy_         0.02%     233.401us         0.02%     233.401us      11.670us           0 B           0 B            20                 [[10036], [10036], []]  
autograd::engine::evaluate_function: IndexSelectBack...         0.02%     229.660us         0.27%       3.289ms      82.226us      -2.45 MB      -2.46 MB            40                                     []  
      autograd::engine::evaluate_function: MulBackward0         0.02%     228.502us         0.10%       1.218ms      24.356us      -1.23 MB      -4.90 MB            50                                     []  
      autograd::engine::evaluate_function: DotBackward0         0.02%     219.903us         0.09%       1.084ms      21.689us      15.39 KB      -2.45 MB            50                                     []  
autograd::engine::evaluate_function: SigmoidBackward...         0.02%     214.112us        12.39%     152.799ms      15.280ms      -4.88 MB      -9.76 MB            10                                     []  
      autograd::engine::evaluate_function: NegBackward0         0.02%     212.604us         0.06%     761.998us       8.467us         480 B      -1.54 MB            90                                     []  
    autograd::engine::evaluate_function: SliceBackward0         0.02%     206.489us         0.17%       2.069ms      51.716us      -1.22 MB      -6.10 MB            40                                     []  
                                               aten::to         0.02%     206.126us         0.12%       1.431ms      10.222us         880 B           0 B           140                   [[], [], [], [], []]  
autograd::engine::evaluate_function: torch::autograd...         0.02%     186.240us         0.06%     720.147us      12.002us           0 B           0 B            60                                     []  
                                                aten::t         0.01%     181.423us         0.03%     332.416us      16.621us           0 B           0 B            20                               [[4, 2]]  
                            aten::index_select_backward         0.01%     178.500us         0.20%       2.489ms     124.468us       1.56 KB           0 B            20             [[15984], [], [], [15984]]  
                                               aten::le         0.01%     176.310us         0.01%     176.310us      17.631us     156.09 KB     156.09 KB            10                          [[15984], []]  
      autograd::engine::evaluate_function: SumBackward0         0.01%     176.262us         0.06%     723.477us      12.058us         -80 B         -80 B            60                                     []  
                                          aten::squeeze         0.01%     174.528us         0.02%     206.533us      20.653us           0 B           0 B            10                       [[15984, 1], []]  
                                   aten::slice_backward         0.01%     172.282us         0.07%     898.007us      44.900us       2.44 MB           0 B            20          [[10036], [], [], [], [], []]  
                                         AddmmBackward0         0.01%     167.351us         0.19%       2.311ms     231.130us         640 B           0 B            10                           [[15984, 4]]  
                                         ClampBackward1         0.01%     165.241us         0.09%       1.141ms     114.149us       1.22 MB    -312.27 KB            10                              [[15984]]  
                                              aten::sum         0.01%     163.847us         0.01%     169.007us      16.901us          80 B          80 B            10               [[15984, 1], [], [], []]  
                                              aten::mul         0.01%     159.055us         0.01%     159.055us       3.976us         320 B         320 B            40                               [[], []]  
                                            aten::lerp_         0.01%     156.704us         0.01%     156.704us       7.835us           0 B           0 B            20                       [[10], [10], []]  
                                         AddmmBackward0         0.01%     154.251us         0.37%       4.571ms     457.086us       4.88 MB           0 B            10                           [[15984, 1]]  
                                            aten::zeros         0.01%     151.283us         0.06%     706.901us      17.673us       4.88 MB           0 B            40                   [[], [], [], [], []]  
                                              aten::div         0.01%     149.520us         0.01%     149.520us       7.476us     929.38 KB     929.38 KB            20                       [[5948], [5948]]  
                                             aten::view         0.01%     149.416us         0.01%     149.416us      14.942us           0 B           0 B            10                           [[1, 4], []]  
                                            aten::clamp         0.01%     149.017us         0.01%     159.170us      15.917us       7.81 KB       7.81 KB            10                        [[100], [], []]  
                                           aten::select         0.01%     149.013us         0.01%     178.611us       8.931us           0 B           0 B            20                     [[100, 2], [], []]  
                                            aten::copy_         0.01%     144.845us         0.01%     144.845us       3.621us           0 B           0 B            40                     [[100], [100], []]  
                                              aten::div         0.01%     144.309us         0.01%     144.309us       7.215us       1.56 KB       1.56 KB            20                             [[10], []]  
                                           aten::clamp_         0.01%     138.328us         0.01%     145.266us       7.263us           0 B           0 B            20                         [[10], [], []]  
                                        aten::transpose         0.01%     135.768us         0.01%     182.707us       9.135us           0 B           0 B            20                       [[1, 4], [], []]  
                                              aten::mul         0.01%     134.163us         0.01%     134.163us       4.472us      23.44 KB      23.44 KB            30                         [[100], [100]]  
                                       aten::as_strided         0.01%     132.853us         0.01%     132.853us       1.107us           0 B           0 B           120                       [[], [], [], []]  
                                         aten::addcmul_         0.01%     129.136us         0.01%     129.136us       6.457us           0 B           0 B            20                 [[10], [10], [10], []]  
                                              aten::add         0.01%     126.389us         0.02%     262.913us      13.146us      15.62 KB      15.47 KB            20                        [[100], [], []]  
                                             aten::mul_         0.01%     123.032us         0.01%     123.032us       6.152us           0 B           0 B            20                             [[10], []]  
                                           SumBackward0         0.01%     115.443us         0.03%     429.211us       7.154us           0 B           0 B            60                                   [[]]  
                                         Log1PBackward0         0.01%     115.171us         0.10%       1.290ms      64.489us       1.53 MB      -1.53 MB            20                              [[10036]]  
                                           AddBackward0         0.01%     114.774us         0.01%     114.774us       0.956us           0 B           0 B           120                                   [[]]  
                        torch::autograd::AccumulateGrad         0.01%     114.581us         0.01%     143.402us      14.340us           0 B           0 B            10                                  [[1]]  
                                         SliceBackward0         0.01%     114.463us         0.08%       1.012ms      50.624us       2.44 MB           0 B            20                              [[10036]]  
                                         ClampBackward1         0.01%     114.043us         0.03%     341.191us      34.119us       7.81 KB      -2.03 KB            10                                [[100]]  
                                           DotBackward0         0.01%     110.304us         0.06%     737.120us      14.742us       2.47 MB           0 B            50                                   [[]]  
                                             aten::sqrt         0.01%     109.923us         0.01%     109.923us       5.496us       1.56 KB       1.56 KB            20                                 [[10]]  
                                             aten::item         0.01%     108.495us         0.01%     166.274us       2.771us           0 B           0 B            60                                   [[]]  
    autograd::engine::evaluate_function: ClampBackward1         0.01%     108.094us         0.13%       1.591ms      79.538us      -1.23 MB      -2.45 MB            20                                     []  
                                         aten::addcdiv_         0.01%     107.753us         0.01%     107.753us       5.388us           0 B           0 B            20                 [[10], [10], [10], []]  
                                        aten::transpose         0.01%     106.001us         0.01%     150.993us       7.550us           0 B           0 B            20                       [[4, 2], [], []]  
                                       SigmoidBackward0         0.01%     105.384us        12.38%     152.585ms      15.259ms       4.88 MB           0 B            10                           [[15984, 4]]  
                                        aten::new_zeros         0.01%     102.385us         0.01%     164.763us       8.238us       1.56 KB           0 B            20          [[15984], [], [], [], [], []]  
                                       aten::as_strided         0.01%      91.459us         0.01%      91.459us       1.016us           0 B           0 B            90                  [[15984], [], [], []]  
                                                aten::t         0.01%      90.648us         0.01%     167.928us       8.396us           0 B           0 B            20                               [[4, 1]]  
                                   IndexSelectBackward0         0.01%      89.042us         0.21%       2.578ms     128.920us       1.56 KB           0 B            20                              [[15984]]  
                                            aten::log1p         0.01%      84.908us         0.01%      84.908us       4.245us      15.62 KB      15.62 KB            20                                [[100]]  
                                           aten::select         0.01%      84.896us         0.01%     102.093us       5.105us           0 B           0 B            20                   [[15984, 2], [], []]  
                                       aten::empty_like         0.01%      83.110us         0.01%     129.039us       3.226us      31.25 KB           0 B            40            [[100], [], [], [], [], []]  
                                             aten::view         0.01%      82.288us         0.01%      82.288us       8.229us           0 B           0 B            10                           [[1, 1], []]  
                                              aten::mul         0.01%      81.454us         0.01%      81.454us       2.036us      31.25 KB      31.25 KB            40                            [[], [100]]  
                        torch::autograd::AccumulateGrad         0.01%      80.424us         0.01%     171.426us      17.143us           0 B           0 B            10                                  [[4]]  
                                           NegBackward0         0.01%      79.804us         0.03%     337.461us       5.624us         480 B           0 B            60                                   [[]]  
                                       aten::index_add_         0.01%      78.812us         0.02%     212.027us      10.601us           0 B     -15.62 KB            20           [[10], [], [100], [100], []]  
                                   aten::slice_backward         0.01%      78.464us         0.04%     492.694us      24.635us       2.44 MB           0 B            20           [[5948], [], [], [], [], []]  
                                        aten::transpose         0.01%      78.295us         0.01%     119.946us      11.995us           0 B           0 B            10                   [[15984, 4], [], []]  
                                           aten::linear         0.01%      75.544us         0.19%       2.331ms     233.087us       1.22 MB           0 B            10              [[15984, 4], [1, 4], [1]]  
                        torch::autograd::AccumulateGrad         0.01%      74.663us         0.01%     142.433us       7.122us           0 B           0 B            20                                 [[10]]  
                                                 detach         0.01%      74.136us         0.01%      74.136us       7.414us           0 B           0 B            10                                  [[4]]  
                                                aten::t         0.01%      73.336us         0.02%     193.282us      19.328us           0 B           0 B            10                           [[15984, 4]]  
                                         Log1PBackward0         0.01%      72.726us         0.05%     597.194us      29.860us     929.38 KB    -929.38 KB            20                               [[5948]]  
                                        aten::unsqueeze         0.01%      70.107us         0.01%      83.177us       8.318us           0 B           0 B            10                          [[15984], []]  
                                       aten::contiguous         0.01%      66.382us         0.05%     643.480us      16.087us      31.25 KB           0 B            40                            [[100], []]  
                                       aten::empty_like         0.01%      66.020us         0.01%     126.427us       3.161us       4.88 MB           0 B            40          [[15984], [], [], [], [], []]  
                                                aten::t         0.01%      65.296us         0.01%     142.875us      14.287us           0 B           0 B            10                               [[2, 4]]  
        autograd::engine::evaluate_function: TBackward0         0.01%      63.031us         0.03%     339.247us      16.962us           0 B           0 B            20                                     []  
                                          TanhBackward0         0.01%      62.870us         0.12%       1.475ms     147.548us       1.22 MB           0 B            10                           [[15984, 1]]  
                                             TBackward0         0.01%      62.142us         0.02%     205.017us      20.502us           0 B           0 B            10                               [[2, 4]]  
                                         Log1PBackward0         0.01%      62.004us         0.03%     372.566us      18.628us      15.62 KB     -15.62 KB            20                                [[100]]  
                                            aten::where         0.01%      61.786us         0.01%      67.260us       6.726us       7.81 KB       7.81 KB            10                     [[100], [100], []]  
                                      aten::logical_and         0.01%      61.658us         0.01%      61.658us       6.166us           0 B           0 B            10            [[15984], [15984], [15984]]  
